equipment_id,spare_part_id,quantity_required,maintenance_interval
TR-001,SP-001,4,preventiva_anual
TR-001,SP-004,200,análise_óleo
TR-001,SP-005,8,preventiva_anual
TR-001,SP-007,2,preditiva
TR-002,SP-001,4,preventiva_anual
TR-002,SP-004,150,análise_óleo
TR-002,SP-005,8,preventiva_anual
TR-003,SP-004,120,análise_óleo
TR-003,SP-005,6,preventiva_anual
TR-003,SP-007,2,preditiva
TR-004,SP-001,6,preventiva_anual
TR-004,SP-004,300,análise_óleo
TR-004,SP-005,10,preventiva_anual
TR-004,SP-007,4,preditiva
TR-005,SP-004,180,análise_óleo
TR-005,SP-005,8,preventiva_anual
TR-005,SP-007,2,preditiva
TR-006,SP-004,150,análise_óleo
TR-006,SP-005,6,preventiva_anual
TR-006,SP-007,2,preditiva
TR-007,SP-004,100,análise_óleo
TR-007,SP-005,6,preventiva_anual
TR-007,SP-007,2,preditiva
TR-008,SP-001,4,preventiva_anual
TR-008,SP-004,200,análise_óleo
TR-008,SP-005,8,preventiva_anual
TR-008,SP-007,4,preditiva
TR-009,SP-004,80,análise_óleo
TR-009,SP-005,4,preventiva_anual
TR-009,SP-007,2,preditiva
DJ-001,SP-002,2,preventiva_anual
DJ-001,SP-008,1,preventiva_anual
DJ-001,SP-015,50,manutenção_SF6
DJ-001,SP-018,1,preventiva_anual
DJ-002,SP-003,2,preventiva_anual
DJ-002,SP-011,10,manutenção_comando
DJ-002,SP-019,1,preventiva_anual
DJ-003,SP-002,2,preventiva_anual
DJ-003,SP-008,1,preventiva_anual
DJ-003,SP-012,1,calibração
DJ-003,SP-015,50,manutenção_SF6
DJ-004,SP-002,2,preventiva_anual
DJ-004,SP-008,1,preventiva_anual
DJ-004,SP-015,50,manutenção_SF6
DJ-004,SP-018,1,preventiva_anual
DJ-005,SP-002,2,preventiva_anual
DJ-005,SP-008,1,preventiva_anual
DJ-005,SP-015,50,manutenção_SF6
DJ-005,SP-013,4,termografia
DJ-006,SP-002,2,preventiva_anual
DJ-006,SP-008,1,preventiva_anual
DJ-006,SP-010,1,manutenção_hidráulica
DJ-006,SP-015,50,manutenção_SF6
DJ-007,SP-002,2,preventiva_anual
DJ-007,SP-008,1,preventiva_anual
DJ-007,SP-015,50,manutenção_SF6
DJ-008,SP-003,2,preventiva_anual
DJ-008,SP-011,8,manutenção_comando
DJ-008,SP-020,1,preventiva_anual
DJ-009,SP-002,2,preventiva_anual
DJ-009,SP-008,1,preventiva_anual
DJ-009,SP-015,50,manutenção_SF6
SC-001,SP-009,6,preventiva_anual
SC-001,SP-016,2,lubrificação
SC-002,SP-009,6,preventiva_anual
SC-002,SP-016,2,lubrificação
SC-003,SP-009,4,preventiva_anual
SC-003,SP-016,2,lubrificação
SC-004,SP-009,6,preventiva_anual
SC-004,SP-016,2,lubrificação
PR-001,SP-006,3,preventiva_anual
PR-002,SP-006,3,preventiva_anual
PR-003,SP-006,3,preventiva_anual 
